a,b,c
10,0,0
20,0,0
30,0,0
40,1,0
50,1,0
60,1,0
70,1,0
80,1,0
90,2,0
100,2,0
200,4,0
300,6,0
400,9,0
500,11,0
600,13,0
700,15,0
800,17,0
900,20,0
1000,22,0
2000,44,0
3000,67,0
4000,89,0
5000,112,1
6000,134,1
7000,156,2
8000,178,2
9000,201,3
10000,223,4
20000,447,16
30000,670,35
40000,893,63
50000,1125,99
60000,1341,142
70000,1564,194
80000,1788,253
90000,2011,301
100000,2236,396
110000,2462,480
120000,2688,571
130000,2918,671
140000,3154,778
150000,3384,894
160000,3607,1018
170000,3831,1151
180000,4072,1292
190000,4306,1440
200000,4519,1602
